Тег;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;Губернское правление;#org_gubernskoe_pravlenie;2;;
orgName;Губернскому правлению;#org_gubernskoe_pravlenie;1;;
orgName;Губернское правление;;1;;
persName;Генерал-Майор Замятнин;#person_замятнин;5;;
persName;Рекрутский;#person_рекрутский;1;;
persName;Земская;#person_земская;1;;
persName;Лопатина;#person_лопатина;1;;
persName;Скопцов;#person_скопцов;1;;
persName;Замятнин;;1;;
persName;Рекрутский;;1;;
persName;Земская;;1;;
persName;Лопатина;;1;;
persName;Скопцов;;1;;
placeName;Енисейской губернии;#place_enisei_province;25;;
placeName;Красноярске;#place_krasnoyarsk;12;;
placeName;Енисейского округа;#place_enisei_okrug;11;;
placeName;г. Красноярске;#place_krasnoyarsk;11;;
placeName;Ачинске;#place_achinsk;10;;
placeName;Минусинске;#place_minusinsk;9;;
placeName;г. Енисейске;#place_eniseysk;8;;
placeName;Енисейске;#place_enisei_okrug;8;;
placeName;Канске;#place_kansk;8;;
placeName;г. Красноярска;#place_krasnoyarsk;7;;
placeName;Енисейский;#place_enisei_okrug;6;;
placeName;Ачинском;#place_achinsk;6;;
placeName;Гражданский;#place_гражданский;5;;
placeName;Восточной Сибири;#place_eastern_siberia;5;;
placeName;Минусинском;#place_minusinsk;5;;
placeName;Ачинского;#place_achinsk;4;;
placeName;Минусинского;#place_minusinsk;4;;
placeName;Туруханском;#place_turukhansk;4;;
placeName;Канском;#place_kansk;3;;
placeName;Канского округа;#place_kansk_okrug;3;;
placeName;Красноярской;#place_krasnoyarsk;3;;
placeName;Красноярского округа;#place_krasnoyarsk_okrug;3;;
placeName;Енисейском;#place_enisei_okrug;3;;
placeName;Ачинской;#place_achinsk;2;;
placeName;Туруханского края;#place_turukhansk_region;2;;
placeName;г. Енисейска;#place_eniseysk;2;;
placeName;Ачинском округе;#place_achinsk_okrug;2;;
placeName;Базайской;#place_базайской;2;;
placeName;Монокской;#place_монокской;2;;
placeName;Арбатском;#place_арбатском;2;;
placeName;Енисейском округе;#place_enisei_okrug;2;;
placeName;Минусинском округе;#place_minusinsk_okrug;2;;
placeName;Енисейского;#place_enisei_okrug;1;;
placeName;Гражданского;#place_гражданского;1;;
placeName;г. Красноярск;#place_krasnoyarsk;1;;
placeName;Кавказского;#place_кавказского;1;;
placeName;Сибирского;#place_сибирского;1;;
placeName;Императорскому;#place_императорскому;1;;
placeName;Енисейская губерния;#place_enisei_province;1;;
placeName;Нижегородской;#place_нижегородской;1;;
placeName;Ирбитской;#place_ирбитской;1;;
placeName;Кяхтинской;#place_кяхтинской;1;;
placeName;Туруханским краем;#place_turukhansk_region;1;;
placeName;селе Троицком;#place_troitskoe;1;;
placeName;Цибульского;#place_цибульского;1;;
placeName;Брянском;#place_брянском;1;;
placeName;Канского;#place_kansk;1;;
