id;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;Министерства внутренних дел;#org_ministry_internal;2;Организации;Гос. Органы
orgName;ЕНИСЕЙСКИЙ ГУБЕРНСКИЙ СТАТИСТИЧЕСКИЙ КОМИТЕТ;#org_statistical_committee;1;Организации;Гос. Органы
orgName;более отдаленной от жилых мест устроена одна больница;#org_более_отдаленной_от_жилых_мест_устроена_одна_больница;1;Организации;Медицина
orgName;Главное управление;#org_главное_управление;1;Организации;Гос. Органы
orgName;Владимирского детского приюта;#org_vladimir_orphanage;1;Организации;Образование
orgName;Владимирский детский приют;#org_vladimir_orphanage;1;Организации;Образование
orgName;Губернское правление;#org_gubernskoe_pravlenie;1;Организации;Гос. Органы
orgName;Губернскому правлению;#org_gubernskoe_pravlenie;1;Организации;Гос. Органы
orgName;Земская полиция;#org_земская_полиция;1;Организации;Гос. Органы
orgName;Архивы Губернский архив;#org_архивы_губернский_архив;1;Организации;Гос. Органы
orgName;Губернское правление;;1;Организации;Гос. Органы
orgName;Енисейский губернский статистический комитет;;1;Организации;Гос. Органы
orgName;Министерство внутренних дел;;1;Организации;Гос. Органы
orgName;Владимирский детский приют;;1;Организации;Образование
orgName;Земская полиция;;1;Организации;Гос. Органы
orgName;более отдаленной от жилых мест устроена одна больница;;1;Организации;Медицина
orgName;Главное управление;;1;Организации;Гос. Органы
orgName;Архивы Губернский архив;;1;Организации;Гос. Органы
placeName;Енисейской губернии;#place_enisei_province;25;Места;Адм. единицы
placeName;Енисейского округа;#place_enisei_okrug;11;Места;Адм. единицы
placeName;г. Красноярске;#place_krasnoyarsk;11;Места;Насел. пункты
placeName;Красноярске;#place_krasnoyarsk;10;Места;Насел. пункты
placeName;г. Енисейске;#place_eniseysk;8;Места;Насел. пункты
placeName;Ачинске;#place_achinsk;8;Места;Насел. пункты
placeName;Енисей;#place_enisey_river;7;Места;Насел. пункты
placeName;Минусинске;#place_minusinsk;7;Места;Насел. пункты
placeName;Ачинском;#place_achinsk;6;Места;Насел. пункты
placeName;Енисейске;#place_enisei_okrug;6;Места;Насел. пункты
placeName;Канске;#place_kansk;6;Места;Насел. пункты
placeName;г. Красноярска;#place_krasnoyarsk;5;Места;Насел. пункты
placeName;Восточной Сибири;#place_eastern_siberia;5;Места;Насел. пункты
placeName;Минусинском;#place_minusinsk;5;Места;Насел. пункты
placeName;Енисейский;#place_enisei_okrug;4;Места;Насел. пункты
placeName;Ачинского;#place_achinsk;4;Места;Насел. пункты
placeName;Минусинского;#place_minusinsk;4;Места;Насел. пункты
placeName;Канском;#place_kansk;3;Места;Насел. пункты
placeName;Канского округа;#place_kansk_okrug;3;Места;Адм. единицы
placeName;Красноярской;#place_krasnoyarsk;3;Места;Насел. пункты
placeName;Красноярского округа;#place_krasnoyarsk_okrug;3;Места;Адм. единицы
placeName;Енисейском;#place_enisei_okrug;3;Места;Насел. пункты
placeName;Ачинской;#place_achinsk;2;Места;Насел. пункты
placeName;Туруханского края;#place_turukhansk_region;2;Места;Насел. пункты
placeName;г. Енисейска;#place_eniseysk;2;Места;Насел. пункты
placeName;Ачинском округе;#place_achinsk_okrug;2;Места;Адм. единицы
placeName;Туруханском;#place_turukhansk;2;Места;Насел. пункты
placeName;Енисейском округе;#place_enisei_okrug;2;Места;Адм. единицы
placeName;Минусинском округе;#place_minusinsk_okrug;2;Места;Адм. единицы
placeName;Енисейского;#place_enisei_okrug;1;Места;Насел. пункты
placeName;г. Красноярск;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Енисейская губерния;#place_enisei_province;1;Места;Адм. единицы
placeName;Туруханским краем;#place_turukhansk_region;1;Места;Насел. пункты
placeName;селе Троицком;#place_troitskoe;1;Места;Насел. пункты
placeName;Канского;#place_kansk;1;Места;Насел. пункты
placeName;Туба;#place_tuba_river;1;Места;Географические точки
placeName;Чулым;#place_chulym_river;1;Места;Географические точки
placeName;Туруханский край;#place_turukhansk_region;1;Места;Адм. единицы
placeName;Канский;#place_kansk;1;Места;Насел. пункты
placeName;Ачинску;#place_achinsk;1;Места;Насел. пункты
placeName;Минусинска;#place_minusinsk;1;Места;Насел. пункты
placeName;Енисейска;#place_enisei_okrug;1;Места;Насел. пункты
placeName;Канск;#place_kansk;1;Места;Насел. пункты
placeName;Красноярском округе;#place_krasnoyarsk_okrug;1;Места;Адм. единицы
placeName;Могилевской;#place_могилевской;1;Места;Насел. пункты
placeName;Новороссийского;#place_новороссийского;1;Места;Насел. пункты
placeName;Красноярского;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Красноярская;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Анцырском;#place_antsyrskaya_volost;1;Места;Насел. пункты
placeName;Минусинского округа;#place_minusinsk_okrug;1;Места;Адм. единицы
placeName;Арбатском;#place_арбатском;1;Места;Насел. пункты
placeName;Красноярском;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Казачинской;#place_казачинской;1;Места;Насел. пункты
placeName;Красноярск;;1;Места;Насел. пункты
placeName;Енисейск;;1;Места;Насел. пункты
placeName;Канск;;1;Места;Насел. пункты
placeName;Ачинск;;1;Места;Насел. пункты
placeName;Минусинск;;1;Места;Насел. пункты
placeName;Туруханск;;1;Места;Насел. пункты
placeName;Енисейская губерния;;1;Места;Адм. единицы
placeName;Восточная Сибирь;;1;Места;Адм. единицы
placeName;Туруханский край;;1;Места;Адм. единицы
placeName;Енисейский округ;;1;Места;Адм. единицы
placeName;Красноярский округ;;1;Места;Адм. единицы
placeName;Канский округ;;1;Места;Адм. единицы
placeName;Ачинский округ;;1;Места;Адм. единицы
placeName;Минусинский округ;;1;Места;Адм. единицы
placeName;Троицкое;;1;Места;Насел. пункты
placeName;Енисей;;1;Места;Насел. пункты
placeName;Туба;;1;Места;Географические точки
placeName;Чулым;;1;Места;Географические точки
placeName;Анцырская волость;;1;Места;Адм. единицы
placeName;Могилевской;;1;Места;Насел. пункты
placeName;Новороссийского;;1;Места;Насел. пункты
placeName;Арбатском;;1;Места;Насел. пункты
placeName;Казачинской;;1;Места;Насел. пункты
